id handicapped-infants water-project-cost-sharing adoption-of-the-budget-resolution physician-fee-freeze el-salvador-aid religious-groups-in-schools anti-satellite-test-ban aid-to-nicaraguan-contras mx-missile immigration synfuels-corporation-cutback education-spending superfund-right-to-sue crime duty-free-exports export-administration-act-south-africa class
349 1 0 1 0 0 0 1 1 1 1 0 1 0 0 1 0.5 democrat
350 0 1 1 1 1 1 1 1 1 0 0 1 1 1 0 1 republican
351 0 1 0 0 0 1 1 0 1 0 1 0 0 0 1 1 democrat
352 0 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 republican
353 0 1 0 1 0 1 1 1 1 0 1 0 1 0 1 0.5 democrat
354 0 0 1 1 1 1 1 0 0 1 1 1 1 1 0 1 republican
355 0 1 1 0 0 1 1 1 1 1 0 0.5 0 0 1 1 democrat
356 1 0 1 1 0 0 0 1 1 1 0 0 0 1 1 1 republican
357 0 0 0 1 1 1 0 0 0 0 0 1 1 1 0 0 republican
358 0 0 0 1 1 1 0 0 0 0 0 1 1 1 0 0 republican
359 1 1 1 0 0 1 1 1 1 1 1 1 1 1 0 0.5 democrat
360 0 0 0 1 1 1 0 0 0 1 0.5 1 1 1 0 1 republican
361 1 0 1 0 0 1 1 1 1 1 0 0 1 0 0 1 democrat
362 1 0 1 0 1 1 1 0 1 1 0 0 1 1 0 0.5 democrat
363 1 1 1 0 0 1 1 1 1 1 1 1 1 0 0 1 democrat
364 1 1 0 1 1 1 0 0 0 1 1 0 1 0 0 0 republican
365 1 1 0 1 1 1 0 0 0 0 1 0 1 1 0 1 republican
366 0 1 0 0 1 1 0 0 0 1 1 0 1 1 0 0 democrat
367 1 0 1 0 0 0 1 1 0 1 1 0 0 0 0 0.5 democrat
368 1 1 1 0 1 1 1 1 0 1 1 0 0 0 1 0.5 democrat
369 0 1 1 0 0 1 1 1 0 1 0 0 0 0 1 1 democrat
370 0 1 0 1 1 1 0 0 0 0 0 0 1 1 0 1 republican
371 1 1 1 0 0.5 1 1 1 0 1 0.5 0.5 0 0 1 1 democrat
372 1 1 1 0 0.5 0 1 1 1 1 0 0 0 0 1 0.5 democrat
373 0 1 1 1 1 1 0 0 0 0 1 1 0.5 1 0 0 democrat
374 0 1 1 0.5 1 1 0 1 0 1 0.5 0 1 1 0.5 1 democrat
375 0 1 0 1 1 1 0 0 0 0 0 1 1 1 0 1 republican
376 0 1 0 1 1 1 0 0 0 0 1 1 0 1 0 0 democrat
377 1 0.5 1 0 0 0 1 1 1 0 1 0 0 0 1 1 democrat
378 0 1 0 1 1 1 0.5 0.5 0 0 0.5 0.5 1 0.5 0.5 0.5 republican
379 0 0 0 1 1 1 0 0 0 0 0 1 1 1 0 1 republican
380 0 0 0 1 1 1 0 0 0 0 0 1 1 1 0 1 republican
381 1 1 1 0 0 1 0.5 1 1 0 1 0 1 0 1 1 democrat
382 1 1 1 0 1 1 1 1 1 1 1 0 1 1 0 0.5 democrat
383 1 1 0 1 1 1 0 0 0 0 1 0 1 1 0 0.5 democrat
384 1 1 1 0 1 1 0 1 1 1 1 0 0 0 0 1 democrat
385 1 1 1 1 1 1 0 0 0 0 1 1 1 1 0 1 democrat
386 1 1 0 0 1 1 0 0 0 0 1 1 1 1 1 0 democrat
387 0 0.5 1 0 1 1 0 1 0 0 1 0 0 0 0 0.5 democrat
388 1 1 1 0 1 1 0 1 1 0 1 0 0 1 0 0.5 democrat
389 0 1 1 1 1 1 0 0 0 0 0 1 1 1 0 0.5 democrat
390 1 0 1 0 0 0 1 1 1 0.5 1 0 0 0 1 0.5 democrat
391 0.5 0.5 0 0 0.5 1 0.5 0 0 0 1 1 0 1 0 0.5 democrat
392 1 1 0 0 0 0 0 1 1 0 1 0 0 0 1 0 democrat
393 1 1 0 1 1 1 0 0 0 0 1 1 1 1 0 1 republican
394 0.5 0.5 0.5 0.5 0 1 0 1 1 0 0 1 1 0 0 0.5 republican
395 1 1 0.5 0.5 0.5 1 0 0 0 0 1 0 1 0 0 1 democrat
396 1 1 1 0.5 0 0 0 1 0 0 1 0.5 0 0 1 1 democrat
397 1 1 1 0 1 1 0 1 0 0 1 0 1 0 1 1 democrat
398 1 1 0 0 1 0.5 0 0 0 0 1 0 1 1 0 1 democrat
399 0 1 1 0 1 1 0 1 0 0 0 0 0 0 0 1 democrat
400 0 1 0 1 0.5 1 0 0 0 1 0 1 1 1 0 0 republican
401 0 1 0 1 1 1 0 0.5 0 0 0.5 0.5 0.5 1 0 0.5 republican
402 0 1 0 1 1 1 0 0 0 1 1 1 1 1 0 0 republican
403 0.5 0 1 1 0 1 1 1 1 1 0 1 0 1 0 1 republican
404 0 1 0 1 1 1 0 0 0 1 0 1 0.5 1 0 0 republican
405 1 1 0 1 1 1 0 0 0 1 0 1 1 1 0 1 republican
406 0 0 0 1 1 1 0 0 0 0 0 1 1 1 0 1 republican
407 1 0 1 0 1 1 0 0 1 1 0 0 1 1 0 1 democrat
408 0 0 0 1 1 1 0 0 0 0 1 1 1 1 0 0 democrat
409 1 0 1 0 0 1 1 1 1 0 0 1 0.5 1 1 1 democrat
410 0 0 0 1 1 1 0 0 0 0 0 1 1 1 0 0 republican
411 0 0 0 1 1 1 0 0 0 0 1 1 1 1 0 1 republican
412 1 0 1 0 0 1 1 1 1 1 1 0 0 0 0 1 democrat
413 0 0 0 1 1 1 0 0 0 1 0 1 1 1 0 1 republican
414 1 1 1 1 1 1 1 1 0 1 0.5 0.5 0.5 1 0 1 republican
415 1 1 1 0 0 0 1 1 1 0 0 0 0 0 0 1 democrat
416 0 1 1 0 0 1 1 1 0.5 1 0 0 0 0 0 1 democrat
417 1 1 0 1 1 1 0 0 0 1 0 0 1 1 0 1 republican
418 1 1 1 0 0 0 1 1 1 1 1 0 1 0 0 1 democrat
419 1 1 1 0 0 0 1 1 0 1 0 0 0 0 0 1 democrat
420 1 1 1 0 0 0 1 1 1 0 0 0 0 0 0 1 democrat
421 1 1 1 1 1 1 1 1 0 1 0 0 1 1 0 1 republican
422 0 1 1 0 1 1 1 1 0 0 1 0 1 0 1 1 democrat
423 0 0 1 0 0 1 1 1 1 0 1 0 0 0 1 1 democrat
424 0 1 1 0 0 1 1 1 1 0 1 0 0 1 1 1 democrat
425 0 1 1 0 0 0.5 1 1 1 1 1 0 0.5 1 1 1 democrat
426 0 0 1 0 0 0 1 1 0 1 1 0 0 0 1 0.5 democrat
427 1 0 1 0 0 0 1 1 1 1 0 0 0 0 1 1 democrat
428 0 0 0 1 1 1 1 1 0 1 0 1 1 1 0 1 republican
429 0.5 0.5 0.5 0 0 0 1 1 1 1 0 0 1 0 1 1 democrat
430 1 0 1 0 0.5 0 1 1 1 1 0 1 0 0.5 1 1 democrat
431 0 0 1 1 1 1 0 0 1 1 0 1 1 1 0 1 republican
432 0 0 1 0 0 0 1 1 1 1 0 0 0 0 0 1 democrat
433 0 0.5 0 1 1 1 0 0 0 0 1 1 1 1 0 1 republican
434 0 0 0 1 1 1 0.5 0.5 0.5 0.5 0 1 1 1 0 1 republican
435 0 1 0 1 1 1 0 0 0 1 0 1 1 1 0.5 0 republican
